,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Chile,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Mauritius,"AF: Trade Balance: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Syrian Arab Republic",AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Honduras,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Guyana,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Costa Rica,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Bolivia,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Argentina,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Uganda,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Togo,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: South Africa,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Rwanda,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Burundi,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Botswana,"AF: Trade Balance: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Sudan",AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Uzbekistan,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Kenya,"AF: Trade Balance: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Iraq","AF: Trade Balance: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Pakistan",AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Angola,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Seychelles,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Cameroon,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Gabon,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Niger,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Nigeria,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Ethiopia,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Dominica,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Anguilla,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Sierra Leone,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Curacao,AF: Trade Balance: Emerging and Developing Economies: Europe: Europe Not Specified,"AF: Trade Balance: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Kuwait",AF: Trade Balance: Emerging and Developing Economies: Africa,"AF: Trade Balance: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Algeria","AF: Trade Balance: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: West Bank and Gaza",AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa,"AF: Trade Balance: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Lebanon","AF: Trade Balance: Emerging and Developing Economies: Middle East, North Africa, and Pakistan",AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Cabo Verde,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Brazil,AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Kyrgyz Republic,"AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Congo, Republic of","AF: Trade Balance: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Egypt",AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Zimbabwe,"AF: Trade Balance: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Yemen, Republic of",AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Tajikistan,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Mali,AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Russia,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Greenland,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Lesotho,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Ghana,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Guatemala,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Colombia,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Aruba,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Madagascar,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Cote D'Ivoire,"AF: Trade Balance: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Oman","AF: Trade Balance: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Morocco",AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Central African Republic,"AF: Trade Balance: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Jordan",AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Barbados,"AF: Trade Balance: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Mauritania",AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Burkina Faso,"AF: Trade Balance: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Saudi Arabia",AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: El Salvador,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Dominican Republic,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Mozambique,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Jamaica,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Benin,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Antigua and Barbuda,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Guinea,"AF: Trade Balance: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Bahrain, Kingdom of",AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Bahamas,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Malawi,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Senegal,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Gambia,"AF: Trade Balance: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: United Arab Emirates",AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Zambia,"AF: Trade Balance: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Iran, Islamic Republic of",AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere,AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Ukraine,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Namibia,AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Turkmenistan,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Ecuador,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Eswatini,AF: Trade Balance: Emerging and Developing Economies: Middle East,"AF: Trade Balance: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Qatar",AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Tanzania,"AF: Trade Balance: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Tunisia",AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Sao Tome & Principe,AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Moldova,AF: (DC)Trade Balance: Emerging and Developing Economies: Western Hemisphere: Grenada,AF: (DC)Trade Balance: Emerging and Developing Economies: Western Hemisphere: Belize,"AF: (DC)Trade Balance: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: (Old)Yemen Arab Republic","AF: (DC)Trade Balance: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Somalia","AF: (DC)Trade Balance: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Libya","AF: (DC)Trade Balance: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Djibouti",AF: (DC)Trade Balance: Emerging and Developing Economies: Europe: CIS: (Old)Union of Soviet Socialist Republics,AF: (DC)Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Comoros,AF: (DC)Trade Balance: Emerging and Developing Economies: Western Hemisphere: Bermuda
Region,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan
Subnational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn
Source,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund
Status,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Series ID,407836927,407983127,406631587,407011067,408020447,407395867,407698567,407151537,407018637,408049067,407734577,407397337,407617977,406678507,406861367,407120277,407243817,406618177,406602027,406600697,406811067,406801077,406796987,406536557,406655527,406648847,406643387,406567377,417797947,417797847,417797037,407838247,407835237,408037497,407882047,407977287,407482507,407412447,407399457,407457087,407450307,407440587,407374037,407364087,406831477,406920207,406908467,406830367,406931357,417799257,407955837,407032767,406741387,406966647,406899987,407165007,407255507,407901377,407250687,407212187,406610677,406564307,407887837,407720757,407695217,407618147,407646347,407567717,407411187,407523067,407428647,407465377,407375627,407357177,407385587,407338217,406671077,406905707,406816237,406942007,407030687,406984407,406970447,406991087,407213067,407056577,407590877,407714717,406869887,407018907,407000117,407203907,407157227,407445047,407342937,407404337,407283827,406782817,407292087,407098237
SR Code,SR117703437,SR117703157,SR117702877,SR117703547,SR117703537,SR117703457,SR117703417,SR117703357,SR117703287,SR117703277,SR117703247,SR117703207,SR117702997,SR117702977,SR117702867,SR117702627,SR117703117,SR117702747,SR117702827,SR117702957,SR117703237,SR117703007,SR117703077,SR117703187,SR117703197,SR117703067,SR117703467,SR117703337,SR127562267,SR127562277,SR127562247,SR117702767,SR117702657,SR117702697,SR117702907,SR117702947,SR117702777,SR117702687,SR117703017,SR117703427,SR117702567,SR117703047,SR117702727,SR117703307,SR117702917,SR117702597,SR117703147,SR117702587,SR117703507,SR127562257,SR117703097,SR117703527,SR117703447,SR117703367,SR117703127,SR117703057,SR117702817,SR117702807,SR117703027,SR117702757,SR117703387,SR117702797,SR117702987,SR117702847,SR117703497,SR117703477,SR117703167,SR117703557,SR117702967,SR117703347,SR117703107,SR117702707,SR117703377,SR117703137,SR117703227,SR117703087,SR117702897,SR117703297,SR117702737,SR117703327,SR117702617,SR117703177,SR117702607,SR117703487,SR117703257,SR117702667,SR117702837,SR117703267,SR117702887,SR117703217,SR117702577,SR117703517,SR117703397,SR117702927,SR117702857,SR117702787,SR117702717,SR117702637,SR117703037,SR117703407
Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Function Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
