,AF: Trade Balance: Advanced Economies: Cyprus,AF: Trade Balance: Advanced Economies: Taiwan,AF: Trade Balance: Advanced Economies: Sweden,AF: Trade Balance: European Union,AF: Trade Balance: Advanced Economies: Norway,AF: Trade Balance: Advanced Economies: Belgium,AF: Trade Balance: Advanced Economies: Italy,AF: Trade Balance: Advanced Economies: Austria,AF: Trade Balance: Euro Area,AF: Trade Balance: Advanced Economies: Denmark,AF: Trade Balance: Advanced Economies: Iceland,AF: Trade Balance: Advanced Economies: Ireland,AF: Trade Balance: Advanced Economies: Malta,AF: Trade Balance: Advanced Economies: Slovenia,AF: Trade Balance: Advanced Economies: Luxembourg,AF: Trade Balance: Advanced Economies: Germany,AF: Trade Balance: Advanced Economies: Netherlands,AF: Trade Balance: Advanced Economies: France,AF: Trade Balance: Advanced Economies: Israel,AF: Trade Balance: Advanced Economies: Finland,AF: Trade Balance: Advanced Economies: Greece,AF: Trade Balance: Advanced Economies: Estonia,AF: Trade Balance: Advanced Economies: Lithuania,AF: Trade Balance: Advanced Economies: Canada,AF: Trade Balance: Advanced Economies: Portugal,AF: Trade Balance: Advanced Economies: Australia,AF: Trade Balance: Advanced Economies: Spain,AF: Trade Balance: Advanced Economies: Latvia,AF: Trade Balance: Advanced Economies: Singapore,AF: Trade Balance: Other Countries Not Elsewhere Classified,AF: Trade Balance: Advanced Economies: Japan,AF: Trade Balance: Emerging and Developing Economies,AF: Trade Balance: Advanced Economies: Switzerland,AF: Trade Balance: Advanced Economies: Vatican,AF: Trade Balance: Countries or Area Not Specified,AF: Trade Balance: Advanced Economies: Czech Republic,AF: Trade Balance: Advanced Economies: United Kingdom,AF: Trade Balance: Advanced Economies: Slovak Republic,AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Turkey,AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Romania,AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Poland,"AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Macedonia, Former Yugoslav Republic",AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Hungary,AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Croatia,AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Bulgaria,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Maldives,AF: Trade Balance: Advanced Economies: Hong Kong SAR,AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Georgia,AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Belarus,AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Armenia,"AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Montenegro, Republic of",AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Kosovo,AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Albania,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Vietnam,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Tonga,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Thailand,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: New Caledonia,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Mongolia,"AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Marshall Islands, Republic",AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: China,AF: Trade Balance: Advanced Economies: United States,AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Russia,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: French Polynesia,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Malaysia,AF: Trade Balance: Advanced Economies: New Zealand,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Cambodia,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Brunei Darussalam,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: India,"AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Serbia, Republic of",AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Asia Not Specified,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Indonesia,AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Kazakhstan,AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Kyrgyz Republic,AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Moldova,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Philippines,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Myanmar,AF: Trade Balance: Emerging and Developing Economies: Export Earnings: Fuel,AF: Trade Balance: Advanced Economies: South Korea,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Vanuatu,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Bangladesh,AF: Trade Balance: Emerging and Developing Economies: Europe: CIS,AF: Trade Balance: Emerging and Developing Economies: Export Earnings: Non-Fuel,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Fiji,AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: American Samoa,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Nepal,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Samoa,AF: Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Sri Lanka,AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Bosnia & Herzegovina,"AF: Trade Balance: Emerging and Developing Economies: Europe: CIS: Azerbaijan, Republic of",AF: Trade Balance: Emerging and Developing Economies: Europe,AF: (DC)Trade Balance: Advanced Economies: (Old)Belgium-Luxembourg,"AF: (DC)Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: (Old)Yugoslavia, Socialist Fed. Rep.",AF: (DC)Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: (Old)Czechoslovakia,AF: (DC)Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Papua New Guinea,AF: (DC)Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Macau SAR,AF: (DC)Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Faroe Islands,AF: (DC)Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: (Old)Serbia & Montenegro,AF: (DC)Trade Balance: Emerging and Developing Economies: Emerging and Developing Asia: Timor-Leste
Region,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan
Subnational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn
Source,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund
Status,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Series ID,407485777,407363997,406984717,407174517,407129167,406599267,408042347,408012897,408009637,407395457,407054077,406846197,407036127,407964797,407975817,407963787,407652447,407869007,407847937,407680277,406973777,407083757,407159687,407317997,406797997,406629517,407473467,407670077,407777567,407723377,407217797,407208797,406938367,407413867,407896007,407782107,407209927,407057677,407333797,406971867,407041107,407135677,407307457,407215357,407137187,407633037,407841127,407567867,407783557,407635597,407769707,407814687,407655747,407577137,407578197,406666487,407237577,407843507,406826197,407171857,406528137,406791827,406778927,406817917,406855157,406773627,407705587,407693287,407685977,407679947,407772547,407803037,407715017,406731657,406710037,406686297,406677387,407595607,407338427,407093497,407090887,407019287,407132377,406962307,417797147,407455287,407436737,407510727,407886597,407884927,407872597,407828327,408074047,407599797,406977597,406714107,406564267,407807667,407126217,407705727
SR Code,SR117755527,SR117755807,SR117755787,SR117755447,SR117755727,SR117755497,SR117755637,SR117755487,SR117755457,SR117755547,SR117755607,SR117755617,SR117755697,SR117755767,SR117755687,SR117755587,SR117755707,SR117755577,SR117755627,SR117755567,SR117755597,SR117755557,SR117755677,SR117755507,SR117755737,SR117755477,SR117755777,SR117755667,SR117755747,SR117755427,SR117755647,SR117755387,SR117755797,SR117755837,SR117755417,SR117755537,SR117755817,SR117755757,SR117756287,SR117756267,SR117756257,SR117756237,SR117756217,SR117756197,SR117756187,SR117755977,SR117755517,SR117756377,SR117756367,SR117756347,SR117756247,SR117756227,SR117756167,SR117756117,SR117756097,SR117756077,SR117756027,SR117755997,SR117755987,SR117755917,SR117755827,SR117756417,SR117755937,SR117755967,SR117755717,SR117755897,SR117755887,SR117755947,SR117756277,SR117756127,SR117755957,SR117756387,SR117756397,SR117756407,SR117756047,SR117756007,SR117755397,SR117755657,SR117756107,SR117755877,SR117756337,SR117755407,SR117755927,SR117756157,SR127562677,SR117755867,SR117756017,SR117756057,SR117756067,SR117756177,SR117756357,SR117756147,SR117755847,SR117756317,SR117756297,SR117756037,SR117755907,SR117756207,SR117756307,SR117756087
Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Function Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
